timestamp,open,high,low,close,adjusted close,volume,dividend amount
2023-02-27,28.6500,29.0000,26.6600,27.1700,27.1700,55414228,0.0000
2023-01-31,26.3000,28.8650,26.0000,28.6700,28.6700,47323262,0.0000
2022-12-30,28.6700,29.0800,25.9400,26.1300,26.1300,54333343,0.3511
2022-11-30,28.6800,29.4250,27.7600,28.6400,28.2873,59293195,0.0000
2022-10-31,27.5500,28.8100,26.3000,28.4500,28.0996,36527982,0.0000
2022-09-30,29.5000,30.0300,27.2600,27.4300,27.0922,56658915,0.3386
2022-08-31,29.3500,30.7700,28.5700,29.5800,28.8773,47184496,0.0000
2022-07-29,28.6700,29.6900,28.2900,29.4800,28.7797,51003153,0.0000
2022-06-30,31.7400,32.0300,27.5900,28.6700,27.9889,73791515,0.3386
2022-05-31,32.1500,32.4800,30.5100,31.6500,30.5633,53481311,0.0000
2022-04-29,32.8100,34.6500,32.1000,32.1400,31.0365,51056785,0.0000
2022-03-31,31.9400,33.8100,31.9100,32.6600,31.5386,81455044,0.3274
2022-02-28,29.9000,32.5700,29.6900,32.0100,30.6085,68094941,0.0000
2022-01-31,29.8200,30.0600,28.8000,29.9100,28.6005,54708316,0.0000
2021-12-31,29.3800,30.0400,28.7900,29.7900,28.4857,52598797,0.3274
2021-11-30,28.4100,29.7200,28.1600,29.2000,27.6120,49736081,0.0000
2021-10-29,27.8800,28.4950,27.3400,28.3900,26.8460,33198561,0.0000
2021-09-30,29.0700,29.9900,27.7500,27.8400,26.3259,52359344,0.3162
2021-08-31,27.7800,29.3900,27.7700,29.0700,27.1987,37577076,0.0000
2021-07-30,27.8900,28.3000,27.3900,27.7100,25.9263,34266494,0.0000
2021-06-30,27.3300,28.1400,27.2000,27.8000,26.0105,51980750,0.3162
2021-05-31,25.5600,27.3900,25.3600,27.1000,25.0692,53745182,0.0000
2021-04-30,25.2000,26.0800,25.1200,25.5000,23.5891,46977174,0.0000
2021-03-31,25.6900,27.2800,24.9300,25.0300,23.1543,111225617,0.3112
2021-02-26,26.5000,27.5400,25.3300,25.5000,23.3153,76801347,0.0000
2021-01-29,25.3400,27.0400,25.1400,26.3900,24.1290,57673506,0.0000
2020-12-31,25.2100,26.0200,24.9250,25.2100,23.0501,51327158,0.3112
2020-11-30,22.8600,25.3300,22.5000,25.0500,22.6296,55105176,0.0000
2020-10-30,23.4200,24.2900,22.5800,22.7800,20.5789,43519446,0.0000
2020-09-30,24.0600,24.7400,23.1300,23.4300,21.1661,46525880,0.2913
2020-08-31,23.3200,24.7000,23.3000,24.0200,21.4347,36921178,0.0000
2020-07-31,23.0000,24.0300,22.0400,23.2300,20.7297,42316728,0.0000
2020-06-30,23.8600,25.4200,22.3300,22.7700,20.3192,64043829,0.2913
2020-05-29,22.6000,23.9100,22.0200,23.8600,21.0476,34023677,0.0000
2020-04-30,21.6700,23.7900,21.5100,22.7500,20.0684,57102701,0.0000
2020-03-31,48.6700,51.6600,19.6100,22.2500,19.6273,126316527,0.2913
2020-02-28,53.2100,55.4800,48.0800,48.4400,21.1026,68877802,0.0000
2020-01-31,50.2100,53.6900,50.0600,53.0500,23.1110,41056344,0.0000
2019-12-31,50.2100,51.4300,49.5100,50.2800,21.9042,53062008,0.2913
2019-11-29,47.0900,50.6500,46.4700,50.1500,21.5998,44424290,0.0000
2019-10-31,47.2500,48.1900,45.6900,46.8500,20.1785,41873888,0.0000
2019-09-30,48.0300,49.1100,46.5200,47.1500,20.3077,46427152,0.2812
2019-08-30,47.3400,48.5000,46.8100,48.2300,20.5341,39146828,0.0000
2019-07-31,48.8900,49.3700,47.0500,47.4400,20.1977,37334034,0.0000
2019-06-28,49.8800,51.2200,47.7700,48.4100,20.6107,47144266,0.2812
2019-05-31,49.2600,50.7900,48.3300,49.9200,21.0191,42068048,0.0000
2019-04-30,49.5500,50.6100,48.9500,49.3300,20.7707,41729272,0.0000
2019-03-29,47.7000,49.8450,46.8500,49.4600,20.8254,56881218,0.2725
2019-02-28,45.9800,48.2400,45.9100,47.8000,19.8959,39573024,0.0000
2019-01-31,44.9400,46.5600,44.5100,46.0200,19.1550,50374092,0.0000
2018-12-31,47.7000,48.3700,44.3200,45.2500,18.8345,52797450,0.2725
2018-11-30,45.1100,47.8600,44.4500,47.6900,19.6238,52255144,0.0000
2018-10-31,47.6200,47.7500,43.8800,45.0800,18.5498,46870028,0.0000
2018-09-28,48.2100,49.1100,46.8000,47.6100,19.5909,32642578,0.2625
2018-08-31,47.5700,49.1500,46.5000,48.3900,19.6990,37387354,0.0000
2018-07-31,47.0000,48.3800,46.2000,47.5500,19.3570,27816050,0.0000
2018-06-29,45.6800,47.1500,45.5200,46.7000,19.0110,45364222,0.2625
2018-05-31,45.9300,46.4700,45.2100,45.5900,18.3481,42747798,0.0000
2018-04-30,45.2000,46.4800,44.1400,45.9500,18.4930,29513014,0.0000
2018-03-29,46.3100,47.4900,44.1800,45.2400,18.2073,45396310,0.2525
2018-02-28,46.1800,46.9900,44.2300,46.3200,18.4425,47644036,0.0000
